"","Beta","model","out","strata","exposure","pop","se","iqr","Lower","Upper","beta_exp","Lower_exp","Upper_exp","beta_ci"
"18",-0.00884221562376656,"model 5","cvd","q_medhouseholdincome 2","occur_bs_1000m","full",0.0217779357957735,0.0322254268358965,-0.0515261854411083,0.0338417541935751,0.999715096420084,0.998340924470856,1.00109115985598,"1 (1, 1)"
"19",-0.00290294275858801,"model 5","cvd","q_medhouseholdincome 3","park","full",0.0122739427374933,0.159118870754791,-0.0269594284723818,0.0211535429552058,0.999538193691761,0.995719434036607,1.00337159896375,"1 (1, 1)"
"20",-0.11345830897127,"model 5","cvd","q_medhouseholdincome 3","ndvi_summer","full",0.0173520597346609,0.274767457777641,-0.147467721108793,-0.079448896833747,0.969306267866686,0.960290601114437,0.978406578003857,"0.97 (0.96, 0.98)"
"21",-0.00529852479138241,"model 5","cvd","q_medhouseholdincome 3","occur_bs_1000m","full",0.0191531683830667,0.0322254268358965,-0.0428380450120244,0.0322409954292596,0.999829267353475,0.998620478130986,1.00103951976585,"1 (1, 1)"
"22",-0.110052561335997,"model 5","res","q_medhouseholdincome 1","park","full",0.0193217247799284,0.159118870754791,-0.147922446023852,-0.0721826766481422,0.982640994891904,0.976737588005143,0.988580081999533,"0.98 (0.98, 0.99)"
"23",-0.0105786684974426,"model 5","res","q_medhouseholdincome 1","ndvi_summer","full",0.0266570500550354,0.274767457777641,-0.0628255265393934,0.0416681895445082,0.997097546436731,0.98288573153965,1.01151485387093,"1 (0.98, 1.01)"
"24",-0.196126817480014,"model 5","res","q_medhouseholdincome 1","occur_bs_1000m","full",0.0402744894060504,0.0322254268358965,-0.275063366211613,-0.117190268748415,0.993699660490091,0.991175135350291,0.996230615600695,"0.99 (0.99, 1)"
"25",-0.00439270596735163,"model 5","res","q_medhouseholdincome 2","park","full",0.0192242247445612,0.159118870754791,-0.0420714940973953,0.033286082162692,0.999301281804242,0.993327988736637,1.00531049475982,"1 (0.99, 1.01)"
"26",-0.0917745959538619,"model 5","res","q_medhouseholdincome 2","ndvi_summer","full",0.0293873321626861,0.274767457777641,-0.149372708594442,-0.0341764833132816,0.975098612162855,0.959788089105766,0.990653368419898,"0.98 (0.96, 0.99)"
"27",-0.0465992733179756,"model 5","res","q_medhouseholdincome 2","occur_bs_1000m","full",0.0322969312154047,0.0322254268358965,-0.109900095311336,0.016701548675385,0.998499445486527,0.99646468650783,1.00053835939832,"1 (1, 1)"
"28",0.0403609648556366,"model 5","res","q_medhouseholdincome 3","park","full",0.0164112281528637,0.159118870754791,0.00819554873395396,0.0725263809773193,1.00644285763768,1.00130491712416,1.01160716218104,"1.01 (1, 1.01)"
"29",-0.0323275693136962,"model 5","res","q_medhouseholdincome 3","ndvi_summer","full",0.025325280343779,0.274767457777641,-0.0819642066858832,0.0173090680584908,0.991156769388765,0.977730610086549,1.00476729619646,"0.99 (0.98, 1)"
"30",-0.0504775569451377,"model 5","res","q_medhouseholdincome 3","occur_bs_1000m","full",0.025448369858073,0.0322254268358965,-0.100355445332215,-0.000599668558059943,0.998374661477446,0.996771226674659,0.999980675611475,"1 (1, 1)"
"31",-0.00232927878893448,"model 5","cvd","q_medianhousevalue 1","park","full",0.0146333420022067,0.159118870754791,-0.0310101020867169,0.0263515445088479,0.999629436465065,0.995077861196784,1.00420183104632,"1 (1, 1)"
"32",-0.118774826917851,"model 5","cvd","q_medianhousevalue 1","ndvi_summer","full",0.0173640900034401,0.274767457777641,-0.152807817948906,-0.0847418358867964,0.967891333062361,0.958882614491423,0.976984688698425,"0.97 (0.96, 0.98)"
"33",-0.021405045288447,"model 5","cvd","q_medianhousevalue 1","occur_bs_1000m","full",0.029725106849495,0.0322254268358965,-0.0796651841500621,0.0368550935731681,0.999310451127307,0.997436047990928,1.00118837668212,"1 (1, 1)"
"34",0.00492537614849501,"model 5","cvd","q_medianhousevalue 2","park","full",0.0109310486264248,0.159118870754791,-0.0164990854725536,0.0263498377695436,1.00078402747978,0.997378127279015,1.00420155833081,"1 (1, 1)"
