"","X.x","Beta","model","out","exposure","pop","X.y","se","iqr","Lower","Upper","beta_exp","Lower_exp","Upper_exp","beta_ci"
"18","occur_bs_1000m",-0.262477094029495,"model 1","res","occur_bs_1000m","full","se_bs",0.0253745761066414,0.0322254268358965,-0.312210349321483,-0.212743838737507,0.991577235536241,0.989989331900671,0.993167686106283,"0.99 (0.99, 0.99)"
"19","park",-0.0688036859755463,"model 2","res","park","full","se_park",0.0125968559309726,0.159118870754791,-0.0934930699186924,-0.0441143020324002,0.989111746047811,0.985233596904536,0.993005160647749,"0.99 (0.99, 0.99)"
"20","ndvi_summer",-0.0824572691833989,"model 2","res","ndvi_summer","full","se_ndvi",0.0162680525510022,0.274767457777641,-0.114342066281968,-0.0505724720848297,0.977598158531805,0.969070921982444,0.986200429592593,"0.98 (0.97, 0.99)"
"21","occur_bs_1000m",-0.0908111742285908,"model 2","res","occur_bs_1000m","full","se_bs",0.0210774813999655,0.0322254268358965,-0.132122278657336,-0.0495000697998455,0.997077848967996,0.995751354316632,0.998406110715185,"1 (1, 1)"
"22","park",-0.061117008401934,"model 3","res","park","full","se_park",0.0125233191500815,0.159118870754791,-0.0856622629029945,-0.0365717539008735,0.990322264268014,0.986461991854025,0.994197642893122,"0.99 (0.99, 0.99)"
"23","ndvi_summer",-0.12468041983113,"model 3","res","ndvi_summer","full","se_ndvi",0.017174284773834,0.274767457777641,-0.158341399448079,-0.0910194402141807,0.96632204347275,0.957425791014935,0.975300958533282,"0.97 (0.96, 0.98)"
"24","occur_bs_1000m",-0.0968549421141022,"model 3","res","occur_bs_1000m","full","se_bs",0.0203396861532698,0.0322254268358965,-0.136719994431359,-0.0569898897968454,0.996883674004752,0.995603831385951,0.99816516185339,"1 (1, 1)"
"25","park",-0.0685444119796413,"model 4","res","park","full","se_park",0.012384345352542,0.159118870754791,-0.0928172828427296,-0.044271541116553,0.989152553075891,0.98533954523881,0.992980316261862,"0.99 (0.99, 0.99)"
"26","ndvi_summer",-0.125127631074807,"model 4","res","ndvi_summer","full","se_ndvi",0.0171327838525517,0.274767457777641,-0.158707270380718,-0.0915479917688963,0.966203309988187,0.957329546387482,0.975159327062358,"0.97 (0.96, 0.98)"
"27","occur_bs_1000m",-0.121236953563346,"model 4","res","occur_bs_1000m","full","se_bs",0.020571316097372,0.0322254268358965,-0.161555992228784,-0.0809179148979078,0.996100709476616,0.994807318019858,0.997395782526814,"1 (0.99, 1)"
"28","park",-0.0326029598329646,"model 5","res","park","full","se_park",0.0120948096969762,0.159118870754791,-0.0563083512389038,-0.00889756842702545,0.994825686963946,0.991080297431391,0.998585230690452,"0.99 (0.99, 1)"
"29","ndvi_summer",-0.04701351464945,"model 5","res","ndvi_summer","full","se_ndvi",0.0185823135582321,0.274767457777641,-0.0834341799730152,-0.0105928493258848,0.98716529256302,0.977335783629091,0.997093661323327,"0.99 (0.98, 1)"
"30","occur_bs_1000m",-0.108228957265802,"model 5","res","occur_bs_1000m","full","se_bs",0.0214487715278652,0.0322254268358965,-0.150267776973046,-0.0661901375585581,0.996518350701908,0.995169262473296,0.997869267804377,"1 (1, 1)"
"31","park",-0.291094426896457,"model 1","cvd","park","urban","se_park",0.0214238212671932,0.159118870754791,-0.333084344991379,-0.249104508801535,0.954737718543272,0.94838000789107,0.961138049753057,"0.95 (0.95, 0.96)"
"32","ndvi_summer",0.0114497426765887,"model 1","cvd","ndvi_summer","urban","se_ndvi",0.02009044800577,0.274767457777641,-0.027926811847995,0.0508262972011724,1.00315097059161,0.992355986119915,1.01406338438442,"1 (0.99, 1.01)"
"33","occur_bs_1000m",0.0142567421719645,"model 1","cvd","occur_bs_1000m","urban","se_bs",0.0222014713281896,0.0322254268358965,-0.0292573420350857,0.0577708263790147,1.00045953515572,0.999057613989704,1.0018634235586,"1 (1, 1)"
"34","park",-0.0862027521337243,"model 2","cvd","park","urban","se_park",0.0156941380480825,0.159118870754791,-0.116962697476366,-0.0554428067910829,0.986377157762245,0.981561142408027,0.99121680282519,"0.99 (0.98, 0.99)"
"35","ndvi_summer",-0.0795117606785778,"model 2","cvd","ndvi_summer","urban","se_ndvi",0.0173515468041806,0.274767457777641,-0.113520167490833,-0.0455033538663228,0.978389678192839,0.969289792990941,0.987574994925418,"0.98 (0.97, 0.99)"
"36","occur_bs_1000m",0.0611511507298075,"model 2","cvd","occur_bs_1000m","urban","se_bs",0.0179932036985392,0.0322254268358965,0.0258851195141778,0.0964171819454372,1.00197256488524,1.00083450703244,1.00311191683379,"1 (1, 1)"
"37","park",-0.0716983984185779,"model 3","cvd","park","urban","se_park",0.0155683710549088,0.159118870754791,-0.102211844984155,-0.0411849518530008,0.988656262745861,0.983867708694566,0.993468123029996,"0.99 (0.98, 0.99)"
"38","ndvi_summer",-0.128682814070508,"model 3","cvd","ndvi_summer","urban","se_ndvi",0.0178226881353417,0.274767457777641,-0.163614640923467,-0.0937509872175489,0.965259936485189,0.956039566780247,0.974569230561517,"0.97 (0.96, 0.97)"
"39","occur_bs_1000m",0.0520408568106808,"model 3","cvd","occur_bs_1000m","urban","se_bs",0.0178508765384526,0.0322254268358965,0.0170537817028427,0.0870279319185189,1.00167844583967,1.00054971643327,1.00280844857617,"1 (1, 1)"
"40","park",-0.0683237232062727,"model 4","cvd","park","urban","se_park",0.0152087482323731,0.159118870754791,-0.0981323219916612,-0.0385151244208842,0.989187288517957,0.984506573177073,0.993890257743883,"0.99 (0.98, 0.99)"
"41","ndvi_summer",-0.127505085733335,"model 4","cvd","ndvi_summer","urban","se_ndvi",0.0172466188908356,0.274767457777641,-0.161307837614461,-0.0937023338522091,0.965572346517861,0.956645729705877,0.974582259042389,"0.97 (0.96, 0.97)"
"42","occur_bs_1000m",0.0270294966917345,"model 4","cvd","occur_bs_1000m","urban","se_bs",0.0181973977906462,0.0322254268358965,-0.00863674759028079,0.0626957409737498,1.00087141653101,0.999721715850648,1.00202243939096,"1 (1, 1)"
"43","park",-0.0549288499028515,"model 5","cvd","park","urban","se_park",0.0149967343412528,0.159118870754791,-0.084321909097422,-0.025535790708281,0.991297868087615,0.986672402548321,0.995945017553003,"0.99 (0.99, 1)"
